phase,area,perimeter,la,sa,lao
ksp,1828.4721847947,200.5716916102,68.9658083223,36.5030134991,131.770799323
pl,8057.7292220154,518.1639367091,202.3247454085,69.1494224346,88.4991121149
qtz,197.2134387239,56.9068836469,20.3231804546,12.7060515514,116.198634502
qtz,1638.615226236,185.2610675543,75.0075405536,29.9487587465,136.3469214581
qtz,1466.5793671709,155.8399589772,55.4624314047,34.599925583,178.9415742503
qtz,4368.3597414308,453.958569544,120.8471525879,81.0063448823,58.8011227515
ksp,961.7449292286,144.8620097287,61.2302234234,21.5317690089,105.0898697415
ksp,2257.228723077,195.3514532936,63.0308839404,47.5242486495,146.1958037808
ksp,16375.8568363515,750.5924470339,168.2951812619,158.0737145199,94.7395470626
pl,1420.2648179201,160.3918253201,56.322326317,34.8425205926,37.4489330938
pl,2.846863908,15.9328081936,6.4605670932,0.6784286353,99.1300551664
pl,1324.4802250839,135.2736115411,43.4062606584,39.5363901127,46.2224930243
ksp,4933.0120112903,304.8136420831,95.3047357308,73.3505719912,115.5219476895
ksp,9582.1412562771,512.0150544741,140.434444159,103.6307116862,12.9506644209
ksp,7653.569020783,494.3154840412,138.0750935217,98.400140748,13.2658454502
pl,356.7932844745,92.5455995983,38.0164852717,12.9774928556,146.2873770182
pl,3222.4827533382,250.1528324582,87.7484939976,48.5515328805,143.2286792196
ksp,329.8283201858,75.7441651644,27.6752007685,15.8273994793,109.552052364
qtz,1127.650721691,152.1237694641,57.2115114794,26.5706167405,78.1087710789
pl,796.8024972754,118.1577090378,43.4781614274,25.1102240053,7.0792434083
pl,553.3558799491,121.9138681489,51.2671265312,14.5604864127,119.324576542
pl,177.9499637525,57.84515093,20.0763641644,12.1030162691,44.3509692176
ksp,580.5007358064,119.6458092983,50.5268941995,15.5772310449,161.9906601512
ksp,235.4022863699,60.7122897882,20.1314798772,15.4894597008,68.4106758855
ksp,1824.9535264371,200.8640731823,77.3683569071,33.7478793308,93.8373664951
ksp,25328.8896541649,1028.2765547288,264.4738224363,148.4202766053,99.0546793872
ksp,337.3469604956,71.8537324061,25.3448469909,17.2413360297,131.7971607536
ksp,8234.9295510991,515.7076788846,179.6175022094,67.9652522772,139.7580645294
pl,2178.2454887656,187.6189781269,68.5951485255,41.3429014671,74.3920529056
pl,1701.4394666127,178.724964531,61.577343197,37.0806875509,86.5835601298
ksp,11771.4828099994,573.0813609028,174.6373108462,96.2985246827,52.5723769992
pl,1430.8543048061,195.3213560137,62.1520480748,34.154792184,29.9216418413
pl,1151.3295511296,139.9938672249,52.7843298617,29.1817550594,139.152970024
pl,1633.8765735299,184.298445388,65.4348216931,35.1243639961,54.05825116
ksp,115.9892232171,45.0054764334,15.8298686227,9.9514753388,88.1983408062
ksp,11157.1277308068,534.7202651238,132.4342724126,118.5756388077,142.1149219971
ksp,549.4474171742,103.7769415613,33.7770644536,23.7295214045,33.0258990987
pl,4463.0907866122,312.2257616217,123.5606857262,49.6400210957,130.7162413894
ksp,4671.6392035622,316.7916437468,92.2327472939,68.7214660522,17.6746140144
