phase,area,perimeter,la,sa,lao
pl,3243.9619101255,235.3852581427,98.7974000359,42.1817053385,83.7681606143
qtz,3291.4195879046,242.8202163385,71.8335817341,63.068005138,59.5072623613
qtz,4258.9438574653,310.864617059,131.3455822385,45.0391692483,88.746882537
qtz,231.1648175691,64.0243205106,24.2523481549,12.4834835281,138.4927445056
qtz,298.5241021588,84.4662521638,33.503655989,12.4786621839,127.3456126747
pl,1106.8355172349,149.2956394614,63.5273744412,22.9852988857,90.7745956493
ksp,16558.1368664073,548.1819727527,184.1343367865,120.7431018561,107.6945798589
qtz,3317.5699502459,256.754196389,72.1578444537,64.1706278136,29.7261216432
pl,3313.6368294808,242.129600006,85.9483050766,53.385634701,98.8249442484
pl,578.4277558316,104.060449979,30.5470591111,25.7818618483,172.0578048542
pl,1719.6357337156,170.4432384865,60.0873900049,37.7794084294,117.5641143401
pl,10677.9786734547,486.581116503,169.8581564361,85.6831206657,109.9038658988
pl,2023.1746796212,231.8172925003,80.0752219495,42.1745736896,74.6071497475
pl,5136.4772983412,392.1859467471,98.6542580133,82.232997279,133.7136101442
qtz,1843.1348175193,189.2484023555,62.0027741134,41.6643569997,84.9086636312
pl,3478.5327417314,400.5871699417,90.6444502565,63.6248766316,0.9872590804
qtz,14833.8156014135,550.8153511984,187.9105725795,104.7288806824,79.7336750808
qtz,307.6537512714,72.8026674472,22.6005383525,18.9106245718,109.6723741049
qtz,1276.9997476071,171.9941842898,50.0532852158,39.0121026062,139.4719239629
qtz,452.36762063,97.6041850596,30.5573474964,21.8495981074,134.0124170106
qtz,1064.2154608036,147.3575247722,49.6626054492,31.0662175032,56.4841322724
pl,738.1722300887,117.5265937597,48.662789804,19.8653824744,100.6405137737
qtz,9507.3425415542,595.0168125629,236.4833274777,62.1164566346,103.7117929544
ksp,6902.5303753049,468.6306865953,161.005504273,84.080142558,16.321904971
pl,1174.6759395716,135.3671213117,45.347442751,34.5141764552,43.2343461288
pl,5557.6997056918,446.9663052043,141.0495174664,72.1242638045,70.8654196715
qtz,1272.4957592614,147.0640614881,54.3946737477,31.0797061318,164.7474696443
pl,5114.7950702996,314.6206540765,99.4197438494,70.8152853515,176.6204035827
ksp,682.3081919292,113.1790963013,40.9823928684,23.4749184217,86.1296506636
pl,2474.7098112802,281.7356896633,107.9842496051,36.3383908122,127.1974186597
pl,2117.0470184698,212.4380369849,59.9877452301,52.0618459608,38.8646428264
qtz,3291.9166775255,296.2753681422,87.2571690105,54.5561371948,40.7254386408
qtz,8753.124384748,377.9298579762,128.0473514934,88.9389698693,92.5213451221
pl,6866.5599280716,374.4666710818,117.9406070038,83.2469889108,94.8230555481
pl,6693.2276318481,381.9430185869,120.9791009562,84.0059280703,99.4343995613
pl,2921.1186592538,219.0546671763,65.9153632697,58.6342255126,156.3220580262
ksp,1091.1609513242,142.9056708162,44.4100834338,33.6931427716,42.0846756409
pl,1955.0102533717,181.6851926347,66.009494641,39.2496577115,92.8610286728
pl,1460.4717613307,166.1354676607,57.00706894,34.9531952705,154.5324620594
ksp,588.9575455753,95.3781271809,31.1059471789,24.9505191896,49.0726893004
pl,4554.1883326281,305.1797146485,111.5831728218,58.2640822441,135.2710890883
pl,1271.6347944607,136.8197778025,48.2504095172,34.0961969507,128.4439903053
qtz,1009.9562466588,168.4949059447,42.6987710288,39.0160074281,16.0926513439
pl,1446.3992816998,157.6213068321,54.9750586328,35.169600746,84.6897386608
pl,191.3616039479,58.0227669537,21.157598959,11.905482096,134.7401443445
ksp,1938.1103247847,201.0399039044,68.4964445613,42.1113568202,111.9572845622
ksp,2449.4285305336,210.8018773122,83.5020561144,38.2290186129,37.1178016602
qtz,2074.3597867957,188.7969131139,73.5906587322,36.7910593384,104.9111144508
qtz,609.2953469702,116.4105018451,40.9004298944,21.8170311091,141.3466338669
ksp,424.0573143486,81.7564905155,30.5683942922,17.9603848329,123.7247984493
ksp,1641.1171154575,173.5377173468,48.5396450944,47.5151030497,53.1128205889
ksp,604.7026684755,92.9956727836,30.596891298,25.6598010354,21.2535703366
ksp,9227.8377664359,440.2908450361,140.0580267641,87.3439341408,125.2774641498
ksp,7117.1835242983,509.9401890073,170.8761298556,68.8899630203,124.4384126169
ksp,6346.022660697,407.3530154107,125.9616638362,80.6543605444,118.9057935026
ksp,10804.3535759622,505.150405847,143.9513727673,102.3501682494,17.1511431961
qtz,3493.9179398567,275.3434629111,74.9071598325,71.9175400391,16.0705866122
qtz,5320.9644264959,317.53310493,104.1549573742,70.1090441066,94.3655936322
qtz,1103.3589489828,127.050655431,40.3247418741,35.3190130785,142.1195473863
ksp,4026.7695112985,245.1660588532,85.1424262111,60.7419867057,146.7126360455
ksp,12.9078816968,23.098076,9.2162559052,2.1562968879,103.7524685057
ksp,94106.9699143743,2103.1953873652,618.2447895736,217.5214507772,80.5643822842
qtz,1422.1994405411,143.8441284941,52.0896400158,35.1455176969,1.4419384464
pl,28415.5904885797,803.1898851792,274.0890061402,142.6343490664,112.3369956641
ksp,6115.9168621762,308.3889940228,95.0876875928,84.3220038936,141.7784123517
qtz,4358.4518915183,261.8916818686,93.4605063274,61.2577801391,14.9983525393
qtz,186.7689254532,59.4737718533,20.4711897118,12.8460917948,57.3987572564
ksp,3578.9767295953,232.8225902005,81.3561609093,57.0586385854,27.5507768964
pl,1965.6088385839,183.2189647282,58.73998482,45.4250034486,164.3190913444
pl,8943.3660736389,477.5519548226,167.6744495517,90.6951347977,44.3162856619
qtz,4403.3219327955,379.5495805109,103.7332329279,65.6314206633,139.0696779897
ksp,8693.90981011,587.8098449577,183.2232450123,95.1495897897,46.7346132955
qtz,2083.5952890703,202.2214383032,72.3757955034,38.7262457974,84.7352289733
pl,2190.5667906194,179.6951932242,59.3624768354,48.1918703463,76.2879043913
pl,484.8716651958,90.9615390292,32.3669381716,20.020741258,133.9835630569
pl,5951.6506287452,318.0522733174,104.2130923155,76.9623840248,179.9269672199
qtz,2888.6323451964,260.2666830557,84.8963677401,45.9571062643,43.2710509753
ksp,46520.0516254406,1174.2816169984,438.8300140843,151.103183994,65.8306898033
ksp,12967.575108899,762.5705140794,216.4396194472,121.2142899399,136.1237403364
pl,4604.6147836406,264.9994481883,95.8559685765,61.9188272275,48.3959064401
ksp,965.9718891732,127.8425534411,38.217307814,34.7515130895,10.207551941
pl,4393.9723748327,379.9117199238,106.4454216646,70.6776108781,139.9961893498
pl,12317.0939923669,941.5358014671,270.1597421387,80.0342597941,71.5118176498
pl,11771.2170399287,676.5127058038,200.3304635313,93.6961807918,116.5574619831
ksp,1083.3337872876,158.1065351885,55.584065717,29.5416448797,167.4906095973
ksp,2613.6842957872,256.9474487021,87.5922883682,45.5576610578,124.7772632675
ksp,2419.6268941523,194.4936205153,65.9502520502,47.5668632026,99.4170439888
pl,2788.3910748702,329.0727407437,104.4191746712,44.4262143001,14.3939187537
ksp,7891.0543917029,411.7553211814,117.7587154889,97.9906756616,97.935964407
qtz,102.9835575018,41.8114564288,14.2098599074,9.7941333688,47.691454862
qtz,111.6114134779,42.5677480929,14.5823594244,10.1261785602,148.0224668647
ksp,9383.4352554825,601.2627535479,146.626591304,94.6526695202,2.8496198931
qtz,911.8713712326,146.4759551254,58.8728879462,22.3987261025,83.6104086672
qtz,2087.8531165865,204.1461989241,68.0154099606,41.9648679168,73.5795383618
pl,1326.4463688759,180.5282593944,65.3727101029,29.4212835075,112.6062658198
pl,3599.3735083688,295.1513262098,102.6572582992,51.4521092589,26.7152459277
qtz,950.2646688112,124.9242789579,41.9653583272,31.0351763026,67.6985282078
pl,1936.1434421515,252.8707496856,98.7916707175,28.2667211238,99.8854550438
pl,2333.2632860647,274.7503273867,100.5253820857,33.5414326195,135.1022128578
ksp,2629.249864899,251.9882139456,91.4142879758,39.3468699778,99.1454583667
pl,2472.0143962444,220.9346148574,78.0488270099,44.2033242999,68.5525373598
ksp,5775.9385227969,476.8496079717,111.6338284409,94.5594844563,118.804594515
pl,1525.0167760694,178.3120056193,70.7093932804,29.6582173405,107.2431696604
ksp,2480.4837601709,263.0236305121,86.2444379277,48.9611051281,84.6646557936
pl,4445.6694099526,340.0758330302,112.736228051,58.0472555012,165.707170858
pl,4916.2582654639,355.3902912959,105.0830515859,75.2968850739,77.5366470208
pl,8375.4024915716,499.3342401531,118.9859890806,110.8081877005,48.2467142378
pl,322.1847063982,75.3740261603,25.4807065773,17.3318966738,59.7634290981
pl,7052.657792833,432.3514813015,140.0681936291,75.1808747366,97.8956062595
pl,6278.8476846789,462.7541393776,159.6623405536,66.7263151899,88.0584592465
pl,7420.7501892566,513.911976848,153.5123696678,75.7989460126,136.2086594538
ksp,10048.7182816334,472.412952975,173.5863755742,85.0263110993,5.8913399176
pl,3186.409307201,246.220515505,84.0347447351,52.2869081156,0.589964267
qtz,3142.7883343563,226.798575297,83.2139701303,49.2273563229,69.9803422741
ksp,6989.3005139038,336.448678331,129.9662338779,69.516386284,30.4883302166
ksp,2140.4578677013,211.4149876052,64.3071674436,47.146073919,28.5679824371
ksp,1042.8312637843,134.3299588353,41.689292766,33.4705840633,41.1099808728
pl,1306.4173222455,147.3489049296,47.9341533673,36.3722163732,128.3526445884
ksp,3127.0440520204,245.6217325528,79.0657279837,55.2800731946,119.6574617203
pl,9573.5801981899,869.5437218375,270.5664762485,97.8535819852,73.8864796909
pl,4681.2169819639,326.2942953469,117.763634468,63.5860797907,94.4680584175
pl,18786.3985299108,857.6445767837,195.9456235514,166.7260721947,147.5380989254
pl,2004.6239848897,191.3218104525,73.7249725153,36.3697092537,112.067017479
pl,2494.9477636895,262.1723815035,87.4666514918,47.1732493724,39.8507277675
ksp,8683.0204851203,523.7366071739,140.4492039266,107.0714250303,116.4618748062
pl,11464.6505785753,641.0449607266,170.5858466964,108.494971454,156.6695794796
ksp,3167.1715160359,262.4394598195,85.6525472476,51.1674481791,83.26204037
pl,13196.7056686103,644.3638103388,173.9650091204,126.5879552372,87.2046814763
pl,3391.0751740253,306.8227322385,90.9103692732,63.3087805127,143.8842331502
qtz,471.5981499532,96.1321981712,28.3741889213,22.1166862256,149.1402920541
ksp,25293.0611014287,1025.1870473296,319.3953581115,151.8995908861,89.1028229047
ksp,21754.6165780049,744.8082822779,239.4058302801,135.0934131427,118.683865176
pl,2631.9158782781,338.7198497362,138.974965954,36.5373525028,37.5210894038
pl,13469.7202372378,770.2008962451,192.829365925,102.3149689058,85.5283719013
pl,2268.8530138292,192.0193373049,65.9688880838,46.6961896082,128.3390388058
ksp,34846.2929693939,1213.1959615389,258.3648607888,218.9795284791,130.0503305204
pl,6410.3457819417,537.1537923597,252.2322879616,48.6959249644,99.016498052
pl,5995.4041972308,412.3926825325,116.1450624389,78.9159793895,178.8144076426
ksp,5321.4244377787,309.75638042,101.5638649096,69.3121940142,60.1251112138
ksp,79453.2300360287,1985.4426282415,548.6426784911,203.7623022451,93.6419809308
ksp,4025.974389395,316.5118403865,99.414524131,63.8068985307,106.8638153377
pl,7926.2795994392,539.3345662434,137.1977995498,90.5488391604,124.5234614838
ksp,12468.6020219285,684.4166204225,242.6050586834,75.6481467043,74.8416867586
ksp,4354.6300697325,294.4630396188,88.898351533,70.3379290622,20.6375901625
pl,3109.9518227918,244.3636609811,72.4809375192,60.2264827503,104.916075392
pl,1993.6395482523,187.1567862693,69.226723878,38.5764538725,103.1637201021
ksp,11392.5434956822,613.3809571443,188.0508049989,89.3831807566,58.4657307618
ksp,978.4765959175,153.0719815145,49.3875225196,30.5910146915,105.8497130379
qtz,8982.3887151507,538.0312582026,191.318290532,69.8736076368,127.509644095
ksp,7659.6373496205,470.688260799,138.2126391467,78.5607684854,119.0512453542
qtz,8719.694347761,492.1113450774,142.9671550586,91.7036732771,143.5506592956
pl,5077.4653106062,297.2801995566,112.6585199347,59.3667344777,138.9318258351
ksp,40965.2802827213,1230.479836781,323.3205973036,193.3317302409,111.108646726
ksp,16519.0133689147,617.158594806,202.6805047431,122.5347133782,75.30097353
pl,4538.4259205157,305.2860894489,107.4929723325,57.0266415311,101.2593503006
pl,855.1980619236,120.6633821958,42.8497579148,26.3878476613,75.2933566389
pl,7492.7389231467,444.7997250296,125.5389757029,84.8487571498,143.9838688358
pl,177.0666998871,62.4248493949,21.6675290654,12.4293495899,116.870686232
ksp,1602.7515471567,156.0540859027,50.4107253562,41.4950164375,135.8919665162
ksp,28640.6686440535,1118.7580358765,317.3890901162,153.8404399406,88.9090733501
qtz,3578.7713165268,252.1242259648,92.4424035938,53.5681627085,46.1807953757
ksp,1177.9412660336,173.3314479431,63.7105815558,25.2372986103,85.4010756827
pl,5026.6791527273,316.2776084557,130.8933303896,50.8653263505,87.2570772494
pl,3069.5739141439,270.4988319344,83.2967983027,60.3754379037,46.7634903918
ksp,4204.3534717848,323.5329137507,82.787695139,74.0268440593,98.3195439998
qtz,4049.5654034244,271.6298283765,81.9342879434,69.2030597626,66.5239066879
ksp,12147.9087139499,651.612514059,161.830360781,114.5016768568,110.9169067912
qtz,2920.4055692506,227.3989491628,80.5028922564,47.9569647419,146.2474357144
pl,18769.9641966505,790.2656538631,267.1929428334,101.2473607184,83.4843849814
ksp,11827.3257420212,732.1488680125,158.3912552352,127.3323656583,108.8145613997
qtz,1959.8401972413,208.9505333562,82.463405857,34.2212110958,72.7149446289
ksp,7350.8699407843,463.1407998736,181.9504201372,67.3427279586,79.2431965876
pl,5841.165084043,374.3524711543,99.7179780477,84.1480767661,93.7349344328
ksp,20204.5143038869,841.5588624885,178.7283003384,167.0638599353,169.0531833656
ksp,9042.6522244543,496.0319434117,136.8608614788,91.0247173265,25.4998582262
pl,9696.2277129931,523.0952686316,187.7173896868,74.197046513,145.0154536856
ksp,1444.8101404536,178.0534675181,51.4498433954,39.7430396531,148.4097828179
qtz,4844.4448837389,341.151069841,120.4553755197,57.7733522696,90.327323069
pl,1602.844794668,195.2909187892,68.8868882178,40.6835927972,75.1786565521
qtz,3772.0175040286,298.2751052474,107.9325056914,50.6945158335,178.590369908
ksp,10070.0480003935,480.814238678,150.1404144106,102.6208238977,18.0595017473
ksp,8263.6511504624,445.8682225694,147.4376854562,81.4737265631,87.8188725219
pl,2030.6871637928,229.9031607903,62.9166328618,49.8478512937,91.1989568634
ksp,132381.161252807,3237.5767641569,811.7924481951,242.8634756023,104.5819792908
pl,1673.8414433994,182.6549560267,71.4487531207,32.9431062091,97.8091911554
qtz,4720.0253243404,267.8941421582,86.8404665475,71.78006467,87.1078206334
qtz,6600.045240371,347.4824606341,112.8961632653,77.3021669076,93.4890514707
pl,2232.0449083612,186.8397273525,60.2835291438,48.2204846264,130.8716118092
pl,4733.960712489,300.0374599431,108.831282723,59.9421787074,112.6083269219
ksp,27014.6314360241,837.6233883034,252.6045303635,146.4971037279,33.859814593
pl,1662.7316091078,160.8705722822,51.5917037779,42.5954168772,15.3190269742
ksp,18498.5538669777,712.1047074559,230.5698871883,119.4769792452,84.2203404797
pl,2691.6615581532,200.5620120684,63.1062240533,55.5523680005,90.7168292825
ksp,17392.4475406036,666.4624973508,173.7236841353,144.1217311978,14.5533863077
ksp,3848.0587192326,287.7639231166,106.6974202964,52.6136917732,142.2083228578
pl,2812.2155602421,248.2168516944,86.9781244381,46.6998550326,168.1297908658
pl,3151.1750252356,326.4849741322,95.9328044724,52.3352494893,28.6852228804
ksp,4797.9807219767,512.9878307815,111.8951836895,100.0413240836,1.6281807715
ksp,27956.6294092493,910.3375968518,265.6258124989,182.9580687579,81.9492813624
pl,6028.1488322773,349.8602354764,140.5810590839,56.5340056937,23.1041191852
pl,5650.7542729753,310.366389068,123.27869476,59.7390670795,105.2488825872
ksp,11153.1372971322,736.5789536329,216.8750712817,105.0246329685,72.3540361279
qtz,3461.5854956608,247.9246715993,83.4035527957,53.6605093945,102.0293447467
ksp,2701.6044606978,281.9466668748,117.6255704322,32.9395363789,95.8735075961
qtz,319835.857201301,4324.9953562524,1440.9267258565,306.7071700506,87.3296948468
pl,21808.4889443508,700.9863327978,186.5712835099,154.8146717119,0.4430927193
pl,1705.8126550204,199.0459167929,57.0630981408,42.4801134656,0.9351680034
ksp,15231.4630238304,696.7580668412,218.7010458698,111.2803941306,115.254107185
qtz,1179.4292222706,151.3934514594,59.4757592784,25.5731782545,79.8590555881
pl,6645.6669515466,399.4031762003,132.0240986266,72.4585035221,63.6236590233
ksp,14876.0988574176,722.7302835126,229.8765553991,112.0559376046,131.8099172958
pl,3660.077504925,257.3845046105,79.8108194423,63.428444212,160.9110522588
ksp,34479.3486814531,1326.0896799388,274.2369500604,223.0513478336,144.6517114573
pl,3456.8480495873,226.6629319667,77.9949396068,57.0793532524,147.3892678842
qtz,1251.626251316,146.0728934128,56.5623633292,28.9904739189,63.6233229366
qtz,648.6081111586,104.5060416523,39.2563268131,21.6677130746,33.7021715343
ksp,2491.4746778416,235.5905550905,80.7273608177,43.9042537249,50.7596002274
ksp,8400.4140938862,631.3907083778,225.2891558758,83.7268068205,72.9027948322
qtz,7424.1873209537,592.7102172223,221.0894499796,54.1494006063,80.5938350357
qtz,290.6310454491,71.5272698159,27.8330177077,13.6082784518,68.8950238482
ksp,4215.4719707259,287.8352818631,91.2518666777,65.6833539663,17.5778954589
qtz,4077.9371447193,289.3105278058,97.6943505047,62.5383043545,31.7654807238
ksp,9882.6701327019,559.9812031024,168.4133947063,85.8052041737,45.2756245707
pl,4609.0561518651,442.7515417439,112.5973439652,66.0806288018,109.5893864282
pl,2688.360078941,305.8280462662,110.8256441185,43.4982302913,87.0229371934
qtz,500.501455873,91.2123565608,30.9236448797,21.6874528644,34.2961092122
ksp,5377.4013965448,349.8883302915,96.8315626793,77.7691811325,28.6782366893
pl,5526.0477337359,347.2414451471,103.0306210468,74.1738453259,81.6455221114
qtz,476.3459095459,89.6665291171,32.7227253922,19.2467609178,89.5922393607
ksp,8891.0511029695,581.8982083409,172.9076453617,90.6333263463,42.5561986505
qtz,1088.6079869787,135.9607572417,50.8933334037,28.4499561599,88.1525811647
qtz,671.966501437,107.8694405483,43.4684461042,20.0062818989,80.6734885812
pl,929.9487688888,155.5757185039,52.5390415509,30.0763844127,143.446879951
pl,1119.9074882645,139.3391011821,45.3663317403,32.3900245647,61.4013454972
ksp,6308.0622459125,600.8330747543,209.9557964333,75.8778386118,50.5631322795
pl,3100.3518089393,239.0343677796,76.4133278372,55.0449164886,23.2615762276
pl,1029.2936473333,132.5486693996,49.9325745659,26.6944714065,45.0334131824
ksp,24302.3952045599,884.242083857,224.7902902846,162.7931705307,43.3101508128
pl,7560.8458322937,479.6560223432,155.7942155479,82.420168912,20.5733699399
ksp,6243.6323067568,437.7033975127,151.4454765384,66.1305439829,117.7323568429
pl,2157.5947281353,257.4478910658,91.8889687637,37.7357855438,159.4143330285
ksp,15066.2955218572,583.9682877567,226.4346152251,89.2695422031,152.4051727817
pl,2392.7383598692,194.0372891079,62.9803419224,51.3074850292,167.0014495526
pl,2948.2678806765,244.0648867137,78.9280531517,52.7989612543,82.2559825202
pl,1550.8000704962,161.8318529902,53.2210750854,39.180543094,56.6724493866
ksp,26849.9294704679,1004.0329022794,240.8604268207,178.7264048295,29.3213858603
pl,2209.4617146317,200.040719993,79.5601470243,36.6765979756,109.5019877257
ksp,9568.8525623857,455.9145237578,130.945454214,101.5556443233,78.1183022336
pl,4807.7259816021,312.14461041,98.5606461748,67.8325171796,109.0124194503
qtz,6286.2797457488,413.6155867517,153.6386355443,61.9522821259,107.5538654505
ksp,4552.5194137699,340.1704344074,112.2229489629,58.3241479329,115.41836852
pl,402.2118420062,91.3608428274,35.021505215,16.2908636862,8.7149869938
pl,7850.6345061725,442.6407108147,144.9838133429,72.7577097998,62.2231403828
qtz,2581.4832837854,275.1760594982,126.013228889,27.4143869126,75.2965439353
pl,4732.2627657921,382.6982419537,105.7341057627,64.4070668989,84.1174011121
qtz,1042.5091172455,156.4711448186,68.5002134082,19.9150940042,86.856535353
qtz,7300.46416959,581.3218719815,194.3110733234,63.8774773234,84.2237362021
qtz,81089.2078065814,1562.978515457,566.9121843953,194.7065680754,69.6354710577
ksp,4820.0115598779,358.7333833672,107.527704645,68.1673091565,80.2200209248
ksp,1588.1695193076,197.4624289682,88.4531349044,23.8998313921,70.677527134
qtz,4940.9147132534,393.7172152113,152.7400851368,51.1194630075,72.0747347696
pl,11608.209308939,665.5481535545,240.626143781,95.7117394556,48.8371568818
qtz,36737.8067327866,1103.4896066446,366.8679169919,143.6710622081,78.4551257283
ksp,3889.2657684217,257.8255115373,76.2927565533,68.4687024129,79.9343037206
qtz,8476.1328779717,395.9760569054,122.2324387371,91.8511129583,51.6229101218
ksp,23287.3566868405,854.962689663,272.5123640143,138.39660763,53.9012638397
ksp,56743.9565034412,1363.5136547283,287.0296857179,282.0502700544,4.0422649991
pl,1117.9386980609,132.6427467566,46.3699030114,31.7338642817,130.3828190295
ksp,3752.8137562711,315.2911461262,90.2211908261,64.5867306207,64.1029061241
pl,2703.2402884473,221.15251641,65.1987562592,55.770914221,36.5593913952
ksp,39113.1586381535,1098.4738458161,380.7673903572,156.226063777,34.6850941203
pl,4678.4570830101,427.812789774,114.4350434386,81.9390061607,49.8192986415
pl,8783.4528599027,620.5227293667,152.6893155508,92.0254498125,104.2208585783
ksp,64681.7696555842,1704.606439083,471.9040381477,195.2075033401,61.9542127139
qtz,1421.1795699099,234.2075063509,115.1608076559,16.2338736137,123.8082094372
pl,1000.8099760743,140.4928710583,55.5761750758,24.4349317171,58.0078205199
pl,2511.1954974128,248.4775633918,110.8416547576,34.0944288628,54.5218110541
pl,1290.3520692268,149.7944412213,50.7739754777,33.7274077253,36.4509483247
ksp,850.1741165865,149.6706356379,57.8945660397,23.1539353052,47.8518102925
ksp,1673.6395936706,196.1249246289,71.192547673,35.3192788675,1.5496914763
qtz,4301.5250979936,516.7812916026,154.4831769292,80.5794981619,21.6730152517
pl,12828.9650573764,503.4356949274,185.6549213427,94.9100022123,49.1005763742
pl,2309.0276827152,200.1382930458,61.900327744,50.89520074,147.2864209833
ksp,91469.5663161863,2944.4642517372,503.3735157171,331.1447383942,31.0367559275
ksp,6544.5846557136,361.7154932014,98.0237020171,94.2351887087,6.8835251016
ksp,15388.2741798203,730.6975673987,205.8091716969,110.5415136237,112.9573474898
ksp,23421.4876542767,1123.589258973,254.9394117865,165.3290122928,56.2107351835
ksp,6123.9134822586,329.9742885631,102.5723341787,79.7701594543,46.0215060344
pl,1607.739519328,217.0816785603,71.7294756856,33.8552143635,10.0809909693
pl,2098.0518800746,192.0481058182,69.8444984205,40.728273102,93.4469270332
ksp,31120.9610001912,1161.1129479025,258.7116424197,175.3041387943,48.6516410375
qtz,34256.3393487985,928.4243747813,265.5449508333,180.4447498662,21.5417889184
pl,5792.848104398,352.3479664523,138.3862920142,55.1472214512,67.0124923826
ksp,41311.0654424417,971.4486699022,274.0307135345,210.6239927945,147.0736186525
pl,4597.0558504155,331.9198994056,106.6469070138,59.5548558801,38.0191496463
pl,17953.7128501595,869.4388307617,279.3984141487,111.8284887856,118.2590207485
pl,3734.4094891029,273.364355704,89.6863096459,57.3037603239,87.065311545
ksp,13629.3281669025,576.6122745385,161.7952809555,122.0278306182,141.331947839
pl,1772.1727827522,168.2087593173,55.6673002519,43.2531708951,109.0097318238
ksp,22760.1055934555,860.0877212393,252.3229385925,132.8532389359,84.6107987996
ksp,6044.9482768428,402.9787503513,117.3799915374,73.927734732,114.205819913
ksp,2563.2998574187,208.3392129495,69.5287719198,49.0997258618,64.4394574059
pl,4137.9367568854,288.2954009568,100.1507792386,56.2690838523,98.9598159394
pl,7893.5416755047,552.6807350603,153.5712966418,91.012049819,136.406584449
ksp,1471.7436743949,150.2109192433,50.5013216317,37.5437459995,54.5301732738
pl,5478.3772078974,443.0483278206,119.9365866105,81.1322569983,112.6085657877
ksp,3878.3638764603,388.9715479559,114.3910856429,66.4400825925,86.3833996223
ksp,3921.1410152251,325.7440612885,114.3418468376,53.0340642711,120.9496813948
pl,19742.3288298065,864.0719941233,263.9815930654,114.3303131236,52.8979976351
pl,1307.6559099064,145.7327168401,51.5430560019,32.7257436846,17.31766121
qtz,2022.9476851462,203.7464346716,80.4471164297,33.6569831089,77.2328520948
qtz,3258.3965198408,240.6327838932,81.0183855058,53.3230407356,68.1716359553
ksp,2497.8360667389,212.4034289274,72.5981527235,46.2593285901,58.0967940041
ksp,3809.376666876,322.3240158462,85.8308260334,66.0023686234,136.5876320485
qtz,2889.5091410744,309.4592629065,92.2168533727,49.0933402322,164.5544304404
qtz,4472.7785924074,304.6853347826,111.3602885558,55.8294908372,15.9289770364
ksp,26430.8656100847,1153.744119559,268.8137285862,177.3154660577,30.7223548608
ksp,2673.0046668911,223.3622254097,61.3593137047,57.4818203776,94.3139723636
qtz,1944.6316236793,207.0989415696,82.9598362683,36.4060506541,93.8258985201
pl,2521.5892320086,209.1164907942,73.0734766905,45.2705679589,167.1622000447
ksp,14278.3931835986,635.1369638781,156.5130647735,141.2911863634,25.8543246024
pl,6098.0945674176,385.8893527013,117.616075994,82.0546493486,177.3716352429
ksp,44614.3493884732,1202.9067979603,307.1229061846,218.7891403819,90.6044852236
ksp,9319.6185918492,602.5485654612,242.0196382021,57.5369634525,87.2001414259
pl,19951.3675363611,766.575797377,278.4535395287,98.9061170806,70.6261142029
ksp,9221.0983640791,637.1743098839,194.8187238032,78.7046540797,70.9957497041
ksp,9762.1493574711,608.5182025446,158.699329443,107.1848498729,0.5378961436
pl,3829.2151546048,252.0050257718,87.4504330049,57.7982577517,125.8999901098
qtz,279.6305004007,98.5853304406,41.7160735332,9.2636171178,67.5203169121
qtz,577.6966359797,155.7874542704,67.2029762043,11.6235500314,78.4824150385
qtz,0.0962917578,2.3454794106,1.0172909536,0.145731031,94.4855321882
ksp,8501.4797793355,485.8454527876,126.5259486509,104.8863729462,26.3428750911
qtz,7125.3112661037,424.2592544825,118.6314606706,90.0285593826,27.429300536
pl,858.7803227018,170.6451417864,66.755646493,20.4383218678,157.0312663535
qtz,506.1478389758,103.2243538453,39.7022515204,16.9884432806,119.2655543281
qtz,1367.1116205925,197.9178866082,59.9318270487,32.1571355483,79.2687410859
pl,18136.3079187647,1116.8916328491,263.3807716456,132.6540266054,31.2227720603
ksp,8733.4424870172,705.392517632,220.2881951863,135.5722679206,137.0583418004
qtz,714.0784567802,107.6179445311,34.6605882521,27.4721365823,139.05842686
pl,61.3379714599,32.5501103496,12.3604965359,6.4796684098,164.2028366524
qtz,19678.6736882571,592.8856665702,190.6632532212,148.5811692428,57.1582959994
ksp,254.6160939959,70.2317982016,20.95752856,17.1078177721,146.3747887645
pl,16353.3607465747,701.1676005391,174.5775629967,133.6465986251,66.0592091715
