time,latitude,longitude,depth,mag,place
1973-10-06T15:07:37.300Z,-60.823,-21.549,33,7,east of the South Sandwich Islands
1973-10-09T07:57:31.000Z,-14.233,167.228,9,6.4,Vanuatu
1973-10-11T02:07:52.700Z,0.636,-29.514,33,6.3,central Mid-Atlantic Ridge
1973-10-18T10:49:37.500Z,19.379,-104.975,45,6,"Jalisco, Mexico"
1973-10-25T14:08:59.500Z,-21.985,-63.656,529,6.1,"Tarija, Bolivia"
1973-11-06T09:36:05.000Z,51.619,-175.404,34,6.4,"Andreanof Islands, Aleutian Islands, Alaska"
1973-11-06T18:26:35.100Z,51.579,-175.247,41,6.3,"Andreanof Islands, Aleutian Islands, Alaska"
1973-11-08T08:59:10.000Z,50.052,156.309,33,6.1,Kuril Islands
1973-11-11T02:43:06.200Z,49.975,156.356,51,6,Kuril Islands
1973-11-19T13:01:56.100Z,38.911,141.91,56,6.1,"near the east coast of Honshu, Japan"
1973-11-30T08:09:55.400Z,-15.198,167.391,124,6,Vanuatu
1973-12-09T19:55:45.600Z,-19.912,169.751,39,6.8,Vanuatu
1973-12-09T20:57:57.800Z,-19.772,169.884,34,6.3,Vanuatu
1973-12-19T04:43:01.500Z,-9.436,119.452,58,6,"Sumba region, Indonesia"
1973-12-28T05:31:06.400Z,-23.871,179.96,549,6.4,south of the Fiji Islands
1973-12-28T13:41:45.800Z,-14.464,166.601,26,7.5,Vanuatu
1973-12-29T00:19:31.100Z,-15.117,166.896,47,7.2,Vanuatu
1973-12-29T08:20:16.200Z,54.64,168.735,33,6,"Komandorskiye Ostrova, Russia region"
1973-12-30T16:21:29.300Z,-15.317,-173.084,33,6.2,Tonga
1973-12-30T16:39:29.700Z,-15.506,166.639,10,6.6,Vanuatu
1974-01-02T10:42:29.900Z,-22.538,-68.397,105,6.4,"Antofagasta, Chile"
1974-01-05T08:33:50.700Z,-12.299,-76.352,98,6.3,near the coast of central Peru
1974-01-08T21:47:21.600Z,-38.954,46.18,33,6.1,Southwest Indian Ridge
1974-01-10T08:51:13.300Z,-14.434,166.863,34,7.2,Vanuatu
1974-01-11T05:36:30.800Z,-14.159,166.589,15,6.2,Vanuatu
1974-01-24T19:12:52.100Z,42.126,143.913,45,6.1,"Hokkaido, Japan region"
1974-01-26T05:35:33.600Z,18.596,-103.401,33,6.1,"Michoacan, Mexico"
1974-01-30T09:53:12.000Z,-5.157,134.074,33,6.3,"Kepulauan Aru region, Indonesia"
1974-01-31T23:30:05.300Z,-7.461,155.894,34,7,Solomon Islands
1974-02-01T03:12:33.100Z,-7.383,155.575,40,7.1,Solomon Islands
1974-02-06T04:04:07.200Z,53.799,-164.672,2,6.5,"Unimak Island region, Alaska"
1974-02-16T01:51:10.800Z,11.43,92.346,25,6,"Andaman Islands, India region"
1974-02-16T01:53:46.600Z,11.446,92.357,33,6.1,"Andaman Islands, India region"
1974-02-19T03:30:21.800Z,13.909,122.116,17,6.1,"Luzon, Philippines"
1974-02-22T00:36:53.800Z,33.151,136.906,385,6,"near the south coast of western Honshu, Japan"
1974-02-28T13:59:17.800Z,-36.813,176.851,15,6.2,off the east coast of the North Island of New Zealand
1974-02-28T20:20:10.200Z,9.336,-84.064,46,6.2,Costa Rica
1974-03-03T14:22:37.500Z,-20.062,169.712,17,6.1,Vanuatu
1974-03-06T19:29:08.100Z,-6.604,128.978,26,6.3,Banda Sea
1974-03-09T20:14:28.300Z,-7.484,156.179,50,6.5,Solomon Islands
1974-03-09T20:18:06.300Z,-7.335,156.193,33,6.6,Solomon Islands
1974-03-18T10:56:12.400Z,-14.929,-172.833,27,6,Samoa Islands
1974-03-23T14:28:35.400Z,-23.931,179.779,535,6.1,south of the Fiji Islands
1974-03-23T20:25:51.800Z,-21.931,173.707,33,6.1,Vanuatu region
1974-04-06T03:56:01.800Z,55.12,-160.443,40,6,Alaska Peninsula
1974-04-27T07:24:54.000Z,-26.246,-175.912,45,6.1,south of Tonga
1974-05-07T02:25:10.800Z,-16.693,-177.342,33,6,Fiji region
1974-05-08T23:33:25.200Z,34.522,138.74,2,6.5,"near the south coast of Honshu, Japan"
1974-05-10T08:12:05.000Z,-4.372,-102.109,33,6.1,central East Pacific Rise
1974-05-10T19:25:15.000Z,28.243,104.015,11,6.8,"eastern Sichuan, China"
1974-05-11T00:43:44.900Z,1.744,126.381,33,6,Molucca Sea
1974-05-11T06:14:08.600Z,19.74,147.274,6,6.4,Mariana Islands region
1974-05-15T18:59:55.900Z,50.05,156.113,56,6.1,Kuril Islands
1974-05-17T15:22:07.400Z,-11.173,-75.077,111,6,central Peru
1974-05-17T20:55:11.200Z,-6.513,106.837,131,6,"Java, Indonesia"
1974-05-26T01:32:11.200Z,-17.699,167.752,13,6,Vanuatu
1974-05-26T15:24:24.000Z,-17.616,167.491,7,6.2,Vanuatu
1974-05-31T14:04:59.900Z,27.226,-111.238,33,6.3,Gulf of California
1974-06-04T04:14:15.900Z,-15.847,-175.101,276,6,Tonga
1974-06-07T06:47:36.300Z,-15.443,-175.315,33,6,Tonga
1974-06-12T16:25:47.600Z,10.563,-63.382,34,6.1,"Sucre, Venezuela"
1974-06-19T02:55:19.700Z,-33.416,56.875,33,6.6,Southwest Indian Ridge
1974-06-24T20:34:35.400Z,-55.833,-27.451,80,6,South Sandwich Islands region
1974-06-25T05:05:19.000Z,-54.642,-131.616,33,6.1,Pacific-Antarctic Ridge
1974-06-25T17:22:19.300Z,-26.09,84.28,33,6.6,South Indian Ocean
1974-06-27T07:46:11.900Z,-4.718,152.505,70,6.1,"New Britain region, Papua New Guinea"
1974-07-02T23:26:26.600Z,-29.082,-175.954,33,7.2,Kermadec Islands region
1974-07-03T23:25:09.300Z,-29.122,-176.11,33,6.6,Kermadec Islands region
1974-07-04T19:30:42.100Z,45.136,94.034,33,6.7,western Mongolia
1974-07-08T05:45:37.000Z,36.414,141.104,35,6,"near the east coast of Honshu, Japan"
1974-07-13T01:18:22.800Z,7.747,-77.688,12,7.3,Panama-Colombia border region
1974-07-29T07:16:26.100Z,46.122,153.092,33,6.2,Kuril Islands
1974-07-30T05:12:40.600Z,36.353,70.763,211,6.5,"Hindu Kush region, Afghanistan"
1974-08-01T05:07:59.000Z,56.516,-152.315,10,6.1,"Kodiak Island region, Alaska"
1974-08-01T05:55:38.200Z,56.67,-152.105,33,6.3,"Kodiak Island region, Alaska"
1974-08-01T07:59:56.900Z,56.632,-152.265,33,6,"Kodiak Island region, Alaska"
1974-08-08T19:16:45.900Z,24.572,122.687,32,6,Taiwan region
1974-08-11T01:13:55.500Z,39.457,73.83,9,7.3,Kyrgyzstan-Tajikistan-Xinjiang border region
1974-08-11T21:21:33.800Z,39.469,73.629,9,6.1,Kyrgyzstan
1974-08-18T10:44:12.800Z,-38.453,-73.431,36,7.1,"Araucania, Chile"
1974-09-07T20:43:11.500Z,-9.815,108.356,33,6.5,"south of Java, Indonesia"
1974-09-21T12:40:22.100Z,-23.708,-175.978,33,6.3,Tonga region
1974-09-23T19:28:17.200Z,-0.278,12.917,33,6.2,Gabon
1974-09-27T03:10:07.900Z,33.602,141.128,46,6.1,"off the east coast of Honshu, Japan"
1974-09-27T05:47:29.400Z,43.176,146.651,43,6.7,Kuril Islands
1974-10-03T14:21:29.100Z,-12.265,-77.795,13,7.6,near the coast of central Peru
1974-10-07T21:52:40.400Z,-58.299,-27.371,33,6,South Sandwich Islands region
1974-10-08T09:50:58.100Z,17.3,-62,47,7.5,"Antigua and Barbuda region, Leeward Islands"
1974-10-09T07:32:02.200Z,44.724,150.119,49,6.4,east of the Kuril Islands
1974-10-10T06:48:14.000Z,40.96,143.129,29,6.2,"off the east coast of Honshu, Japan"
1974-10-10T06:56:49.000Z,40.929,143.112,45,6.2,"off the east coast of Honshu, Japan"
1974-10-10T21:32:10.600Z,-4.139,102.827,21,6,"southern Sumatra, Indonesia"
1974-10-11T08:33:52.300Z,-60.748,153.931,33,6.1,west of Macquarie Island
1974-10-12T06:14:51.500Z,40.506,143.575,24,6,"off the east coast of Honshu, Japan"
1974-10-16T05:45:09.800Z,52.636,-32.07,33,6.9,Reykjanes Ridge
1974-10-21T04:12:29.400Z,-17.909,-178.612,602,6,Fiji region
1974-10-23T06:14:54.000Z,-8.42,154.034,48,7.2,D'Entrecasteaux Islands region
1974-10-27T10:30:38.800Z,-15.447,167.176,36,6.3,Vanuatu
1974-10-29T03:14:14.600Z,-6.88,129.463,117,6.5,Banda Sea
1974-11-08T21:23:21.800Z,42.489,141.78,132,6,"Hokkaido, Japan region"
1974-11-09T12:59:49.800Z,-12.5,-77.786,6,7.2,near the coast of central Peru
1974-11-09T19:10:55.200Z,-6.498,105.342,51,6.1,"Sunda Strait, Indonesia"
1974-11-10T04:25:31.800Z,-15.859,-178.51,33,6.1,Fiji region
1974-11-19T04:58:23.000Z,-3.19,150.637,18,6.1,"New Ireland region, Papua New Guinea"
1974-11-20T04:14:46.900Z,-15.023,167.139,33,6.9,Vanuatu
1974-11-20T13:21:41.200Z,-53.566,-28.345,33,6,southwestern Atlantic Ocean
1974-11-27T18:45:12.500Z,-6.1,154.159,49,6.1,"Bougainville region, Papua New Guinea"
1974-11-29T22:05:22.400Z,30.698,138.319,419,6.1,"Izu Islands, Japan region"
1974-12-03T03:06:35.200Z,-5.012,129.779,33,6.5,Banda Sea
1974-12-04T03:07:46.300Z,0.393,97.843,20,6.9,"Nias region, Indonesia"
1974-12-05T11:57:31.300Z,-7.686,-74.453,162,6,northern Peru
1974-12-21T08:28:55.900Z,-14.563,-175.232,33,6.1,Samoa Islands region
1974-12-24T06:55:47.100Z,-2.308,99.043,33,6.8,"Kepulauan Mentawai region, Indonesia"
1974-12-28T12:11:43.700Z,35.054,72.87,22,6.2,Pakistan
1974-12-31T20:21:09.000Z,14.126,-91.824,39,6.1,offshore Guatemala
1975-01-08T01:58:55.100Z,-2.995,101.776,95,6,"southern Sumatra, Indonesia"
1975-01-12T17:47:23.500Z,-33.512,-178.088,23,6,south of the Kermadec Islands
1975-01-14T19:48:59.200Z,-4.956,129.992,33,6.5,Banda Sea
1975-01-15T11:34:41.300Z,29.406,101.709,33,6,"western Sichuan, China"
1975-01-19T08:02:02.500Z,32.455,78.43,33,6.8,Kashmir-Xizang border region
1975-01-19T08:12:08.100Z,31.95,78.521,33,6,western Xizang-India border region
1975-01-25T02:08:41.500Z,7.218,-77.773,36,6.5,Panama-Colombia border region
1975-02-02T08:43:39.100Z,53.113,173.497,10,7.6,"Near Islands, Aleutian Islands, Alaska"
1975-02-04T11:36:07.500Z,40.641,122.58,33,7,"Liaoning, China"
1975-02-07T04:51:44.000Z,-7.288,149.513,33,6.4,"New Britain region, Papua New Guinea"
1975-02-22T08:36:07.400Z,51.377,-179.419,48,6.5,"Andreanof Islands, Aleutian Islands, Alaska"
1975-02-22T22:04:37.700Z,-24.886,-179.061,375,6.2,south of the Fiji Islands
1975-03-05T00:22:19.700Z,-2.444,126.145,33,6.6,"Ceram Sea, Indonesia"
1975-03-07T07:04:42.600Z,27.497,56.26,27,6.1,southern Iran
1975-03-13T15:26:42.500Z,-29.941,-71.337,4,6.9,"offshore Coquimbo, Chile"
1975-03-13T18:45:29.500Z,-21.778,170.526,85,6.1,southeast of the Loyalty Islands
1975-03-17T22:11:01.600Z,-2.546,138.225,33,6,"Papua, Indonesia"
1975-03-18T17:21:23.400Z,-4.231,-77.015,98,6.2,northern Peru
1975-03-23T07:32:36.500Z,22.735,122.802,21,6.6,Taiwan region
1975-03-27T05:15:06.200Z,40.418,26.139,5,6.7,western Turkey
1975-03-28T02:31:05.700Z,42.061,-112.548,5,6.1,southern Idaho
1975-03-30T22:32:04.000Z,-54.21,8.509,10,6.3,Bouvet Island region
1975-04-05T09:34:36.600Z,10.04,-69.755,33,6.1,"Lara, Venezuela"
1975-04-06T09:55:18.900Z,52.156,160.238,33,6.2,"off the east coast of the Kamchatka Peninsula, Russia"
1975-04-06T10:34:56.700Z,52.212,160.042,33,6.2,"off the east coast of the Kamchatka Peninsula, Russia"
1975-04-09T06:26:22.200Z,-4.041,152.686,133,6.3,"New Britain region, Papua New Guinea"
1975-04-11T00:10:35.100Z,-50.803,139.095,33,6.3,western Indian-Antarctic Ridge
1975-04-16T01:27:18.700Z,71.516,-10.427,13,6.5,Jan Mayen Island region
1975-04-20T11:40:39.900Z,-36.403,-98.794,33,6.2,southeast of Easter Island
1975-04-20T17:35:50.400Z,33.19,131.3,7,6.1,"Kyushu, Japan"
1975-04-23T11:14:48.000Z,16.447,-98.91,11,6.2,"offshore Guerrero, Mexico"
1975-04-28T11:06:43.500Z,35.819,79.915,33,6.3,Kashmir-Xinjiang border region
1975-05-05T05:18:49.300Z,33.093,92.924,33,6.1,"southern Qinghai, China"
1975-05-10T14:27:38.700Z,-38.183,-73.232,6,7.7,"Bio-Bio, Chile"
1975-05-13T21:18:41.300Z,1.018,126.056,36,6.3,Molucca Sea
1975-05-18T23:53:53.800Z,-20.965,-173.985,43,6,Tonga
1975-05-23T16:01:49.200Z,22.697,122.574,6,6.2,Taiwan region
1975-05-26T09:11:51.500Z,35.997,-17.649,33,7.9,Azores-Cape St. Vincent Ridge
1975-05-27T10:18:35.600Z,0.769,122.621,70,6.1,"Minahasa, Sulawesi, Indonesia"
1975-05-30T17:46:24.500Z,-50.416,139.351,33,6.1,western Indian-Antarctic Ridge
1975-06-10T13:47:14.500Z,43.024,147.734,15,7,Kuril Islands
1975-06-13T18:08:11.700Z,43.489,147.709,19,6.4,Kuril Islands
1975-06-14T18:38:01.100Z,43.55,147.894,31,6,Kuril Islands
1975-06-14T23:36:27.700Z,36.279,143.429,19,6.1,"off the east coast of Honshu, Japan"
1975-06-15T00:19:34.000Z,43.667,147.801,38,6.2,Kuril Islands
1975-06-16T22:35:23.200Z,-3.043,147.821,33,6.5,Bismarck Sea
1975-06-22T22:44:10.200Z,43.171,147.153,21,6.1,Kuril Islands
1975-06-23T05:20:10.700Z,-2.7,147.389,33,6.2,"Admiralty Islands region, Papua New Guinea"
1975-06-29T10:37:41.400Z,38.759,129.99,560,6.2,Sea of Japan
1975-07-08T09:37:27.300Z,29.459,-113.346,33,6.5,"Baja California, Mexico"
1975-07-08T12:04:42.400Z,21.485,94.7,157,6.5,Myanmar
1975-07-10T18:29:16.000Z,6.507,126.642,86,6.2,"Mindanao, Philippines"
1975-07-14T23:27:55.000Z,-40.446,78.443,33,6.5,Mid-Indian Ridge
